index	Title	Location	Company	Synopsis	Link
231	Research Assistant	Los Angeles, CA 90049 (Brentwood area)	J. Paul Getty Trust, The	Conducts research in GRI Special Collections.	https://www.indeed.com/rc/clk?jk=f6dc75abf7f82334&fccid=fd6a3850a4011110&vjs=3
232	Lab Assistant/Data Entry-(3rd Shift)	Dublin, OH 43016	LabCorp	Prepare laboratory specimens for analysis and testing.	https://www.indeed.com/rc/clk?jk=631ca1fb3258c8ea&fccid=a3163e1f583839d0&vjs=3
233	Research Assistant	Fort Worth, TX 76107 (Arlington Heights area)	University of North Texas Health Science Center	The P&N department is faculty home to the two primary research institutes which support and organize focused cutting-edge translational multidisciplinary…	https://www.indeed.com/rc/clk?jk=957af4961393198b&fccid=14a7d882453969d8&vjs=3
234	Lab Assistant	Danville, IL 61832	OSF Healthcare	The Laboratory Assistant is responsible for full cycle of specimen collection and maintenance to determine quality, proper collections and labeling.	https://www.indeed.com/rc/clk?jk=e2ea471a1a6722ae&fccid=9e81960f779f634e&vjs=3
235	Clinical Research of Coordinators/Monitors	Arcadia, CA	City of Hope	City of Hope― The Clinical Trial Office (CTO) assists COH investigators with the management of research studies involving human subjects.	https://www.indeed.com/rc/clk?jk=3c8827f94a9ffce6&fccid=e4c4ad85ebf29819&vjs=3
236	Research Project Assistant WPI	Braddock, PA 15104	UPMC	Following research protocol for cash participant payments.	https://www.indeed.com/rc/clk?jk=7e62856516272981&fccid=b75dda97eecc3e82&vjs=3
237	Senior Clinical Research Associate	United States	Parexel	Substantial Site Management experience or equivalent experience in clinical research, with understanding of clinical trials methodology and terminology.	https://www.indeed.com/rc/clk?jk=862d8b019d83a8f1&fccid=a2ce486f2a6b8708&vjs=3
238	Research Associate II, Psychiatry (20 hours per wk. partial...	Galveston, TX 77550	UTMB	Under general supervision, performs routine clinical research assignments.	https://www.indeed.com/rc/clk?jk=956532aa25da7ff0&fccid=a4937c50073cd1dd&vjs=3
239	Research Associate I	Los Angeles, CA 90040	AltaMed Health Services Corporation	Attend and contribute to research team meetings.	https://www.indeed.com/rc/clk?jk=a067894acb3be800&fccid=33ff2b72cdb0fdd3&vjs=3
240	Lab Assistant	Carmel, IN 46033	UnitedHealth Group	The Lab Assistant will receive, accession, label, aliquot and process specimens.	https://www.indeed.com/rc/clk?jk=6c486102790bfa3f&fccid=d3d3520998346837&vjs=3
241	Research Associate II - Cancer Institute	Los Angeles, CA	Cedars-Sinai	Orients research laboratory assistants or lower level research associates and undergraduate student researchers on day-to-day lab operations and routine…	https://www.indeed.com/rc/clk?jk=67c08d8e5aaad881&fccid=22d99361dca0507f&vjs=3
242	IGM - Research Assistant - Rajappa Lab	Columbus, OH 43205 (Livingston Park North area)	Nationwide Children's Hospital	11% Miscellaneous paperwork associated with research.	https://www.indeed.com/rc/clk?jk=811743a8d94773df&fccid=54ea2668f5f1eee5&vjs=3
243	Editorial Assistant - Chemistry	Austin, TX	Macmillan Learning	Editorial assistants help program managers prepare for key meetings & events.	https://www.indeed.com/rc/clk?jk=e61ae5376904e9a0&fccid=e5b136febc6dcd74&vjs=3
244	Research and Development Associate	New Jersey	Career Center Inc.	You will write up documents, track the lab tests and records concerning development of new products, work with formulation data, etc.	https://www.indeed.com/rc/clk?jk=ec38b0e291aa7935&fccid=9d8694d2cc8f77f5&vjs=3
245	Research Associate II, Biochemistry	Cambridge, MA	Revitope Oncology	BS/MS in molecular/cell biology, biochemistry, or a related discipline with 2+ years research experience.	https://www.indeed.com/rc/clk?jk=c6661cdb9d3a587b&fccid=01ff06f34f3d9f55&vjs=3
246	Temporary Research Study Assistant	Chicago, IL	Northwestern University	This requires conducting research visits with participants, performing data entry, and checking data for accuracy and timeliness.	https://www.indeed.com/rc/clk?jk=5ae48a3599cb3d73&fccid=bc51f56762438d6f&vjs=3
247	Assistant Research Scientist	Gainesville, FL 32611	University of Florida	They will also present project results at national and international academic conferences, write manuscripts for publication, and mentor undergraduate research…	https://www.indeed.com/rc/clk?jk=f46aa56b777f51cf&fccid=c0f8fe90d3cd91fa&vjs=3
248	Student Research Assistant	Hoboken, NJ 07030	Stevens Institute of Technology	Must have a fulltime status.	https://www.indeed.com/rc/clk?jk=829515efdb41af17&fccid=12c230a2a94e43d7&vjs=3
249	LAB ASSISTANT-FT (days)	Jersey City, NJ 07302 (Downtown area)	RWJBarnabas Health	High School diploma/GED required.	https://www.indeed.com/rc/clk?jk=5d9716060bf00b62&fccid=c4edd35d91e8a141&vjs=3
250	Human Research Technologist 1, Research Assistant	University Park, PA	Penn State University	Our research also incorporates a large age range from infants through young adults.	https://www.indeed.com/rc/clk?jk=a8c13e6d14db85a9&fccid=ee32437d8dec00bd&vjs=3
251	Shop & Engineering Research Assistant	Burbank, CA 91506 (Rancho area)	Applied Invention LLC	Support the automotive research project team.	https://www.indeed.com/rc/clk?jk=6a7bc4b0d42b9714&fccid=95ad26e2773b7fb1&vjs=3
252	Laboratory Assistant	Ione, CA 95640	Mule Creek State Prison	Incumbents, under direct supervision, perform assigned, varied, standardized, and nontechnical laboratory procedures; collect, process or prepare laboratory…	https://www.indeed.com/rc/clk?jk=49cf5c5860ac7b2b&fccid=755cb17940555795&vjs=3
253	Assistant Coordinator, Research	Manhasset, NY 11030	Northwell Health	In research projects, assists in the collection and processing of data.	https://www.indeed.com/rc/clk?jk=25cac225828278e0&fccid=6f31e2074a3d8a7b&vjs=3
254	Laboratory Assistant II	Irvine, CA	University of California - Irvine	Successful applicant should have a strong interest in biomedical research with two or more years of research experience and commit to working for at least two…	https://www.indeed.com/rc/clk?jk=e5ee7aad27e542fd&fccid=eacce60f6c6b75f5&vjs=3
255	Research Lab Tech I	Los Angeles, CA	USC	This person will provide laboratory assistance to support his lab research activities.	https://www.indeed.com/rc/clk?jk=95b849117fa50114&fccid=7455773bace145da&vjs=3
256	Lab/Research Assistant	Vallejo, CA 94592	Touro University California	A lab assistant or research assistant performing cutting edge, interdisciplinary research in a laboratory investigating the effects of dietary carbohydrates and…	https://www.indeed.com/rc/clk?jk=9b110b4e1389964e&fccid=d4094431e0ebc798&vjs=3
257	Lab Assistant	Bolivar, MO	Citizens Memorial Healthcare	Full Time, Days, 8:00-5:00.	https://www.indeed.com/rc/clk?jk=462959230e265a83&fccid=55320e58323a87d6&vjs=3
258	Clinical Research Associate-Dallas Entry Level	Dallas, TX	Medpace, Inc.	Medpace is a full-service clinical contract research organization (CRO).	https://www.indeed.com/rc/clk?jk=88f5ea8072b86d42&fccid=dc86b41d5cdf3527&vjs=3
259	Clinical Research Assistant	Minneapolis, MN	University of Minnesota	Work with CRC and CRC-RNs to schedule research patients for research appointments, labs, and diagnostic studies.	https://www.indeed.com/rc/clk?jk=de07aa27ec9e4d26&fccid=5c42f0ed4ae5b712&vjs=3
260	Dermatology - Research Coordinator I	Los Angeles, CA	USC	To ensure maximum participant retention, they will actively engage all research participants throughout the trial.	https://www.indeed.com/rc/clk?jk=f38d2f842af1ecdc&fccid=7455773bace145da&vjs=3
261	Research Assistant	Tulsa, OK 74107 (Eugene Field area)	Oklahoma State University	The Research Assistant will conduct and facilitate scientific research and outreach in support of vertebrate paleontology laboratories within the Anatomy and…	https://www.indeed.com/rc/clk?jk=135a4a08809d1e93&fccid=2231c0ca0099a7e5&vjs=3
262	Research Assistant (Neurology)	Miami, FL	University of Miami	Acquire an understanding of the research program and the details of specific research projects Assist the research coordinators in:	https://www.indeed.com/rc/clk?jk=175bc1e3ac583047&fccid=ec40e650131b4ee3&vjs=3
263	Research Assistant I PRN	Albuquerque, NM 87108 (South San Pedro area)	The Mind Research Network	Strong interpersonal skills, including the ability to work easily with research participants and research team members.	https://www.indeed.com/rc/clk?jk=6cf8cccbb756ed7e&fccid=caa39b6f1ab21683&vjs=3
264	Research Finance Assistant	Southlake, TX 76092	Texas Digestive Disease Consultants	Create and distribute research study invoices.	https://www.indeed.com/rc/clk?jk=b398f200ca3c4ad8&fccid=0a71b52a30dc27bb&vjs=3
265	Lab Assistant - Accessioning	Alpharetta, GA 30004	CSI Laboratories dba Cytometry Specialists Inc	Under direct supervision, assists in the verification, ordering and triage of specimens, scans documents into the LIS system, faxes add/cancel requests to…	https://www.indeed.com/rc/clk?jk=43fbcbddf98949bd&fccid=9f94e7794a308274&vjs=3
266	Laboratory Assistant	Winchester, VA	Valley Health	The Laboratory Assistant is a multi-skilled position that efficiently processes patient and specimen workflow.	https://www.indeed.com/rc/clk?jk=78ab92603c18a9e9&fccid=8d92254844cfda58&vjs=3
267	Research Associate	Washington, DC	Democratic National Committee	At least one cycle of political research experience preferred.	https://www.indeed.com/rc/clk?jk=434684b8022aa13d&fccid=6dd06532bd046487&vjs=3
268	Research Associate II (Sequencing)	San Diego, CA	Omniome Inc.	To be successful in this position candidates must have a proven track record of problem solving, both independently and in a team environment.	https://www.indeed.com/rc/clk?jk=2fe2b7577d4e91fd&fccid=2dcf46924215b06d&vjs=3
269	Research Assistant II / 40 Hour / Days / BWH Center for Evid...	Boston, MA 02115 (Mission Hill area)	Brigham & Women's Hospital(BWH)	None	https://www.indeed.com/rc/clk?jk=a16424635cd9a36c&fccid=053c0caee91baa24&vjs=3
270	Research Associate – Molecular Biology	Durham, NC	Pairwise	Bring new techniques and methodologies into the Pairwise research sphere.	https://www.indeed.com/rc/clk?jk=bc6b08211cb8064e&fccid=766bea59eeb16dc7&vjs=3
271	Systems Modeler (Research Assistant)	New York, NY	Research Foundation of The City University of New...	Enthusiasm and interest in learning about operations research and public health.	https://www.indeed.com/rc/clk?jk=46da1f3f46916e1c&fccid=667ba717ce627077&vjs=3
272	Research Associate	Jacksonville, FL 32209 (Hogan's Creek area)	University of Florida Health Proton Therapy Instit...	Prior exposure in the oncology field, research or in an academic environment preferred.	https://www.indeed.com/rc/clk?jk=8efd322d2b517b25&fccid=28bd322b0d56283b&vjs=3
273	Part Time Undergraduate Research Assistant (Temporary Casual...	Stockton, CA 95211 (University area)	University of the Pacific	Must be available to start ASAP for 2 or 3 days per week (specific days of the week determined by the PI) for three months with a possibility of extension up to…	https://www.indeed.com/rc/clk?jk=842069585bca0f58&fccid=f9d97b87e00387b2&vjs=3
274	Research Assistant in Materials Analysis	Newark, DE 19713	DDH Advanced Materials	The successful candidate will assist the R&D team to develop, characterize nanomaterials, nanocomposites and carbon related materials, also to operate the…	https://www.indeed.com/rc/clk?jk=cb9a6606be6bc3cc&fccid=4a7fe4f57173afa4&vjs=3
275	Clinical Research Associate - Medical Device - East Coast (H...	None	PRA Health Sciences	Tools and Technology – Leading the industry with time saving, intuitive smart technology to help predict trends, anticipate needs and eliminate the need for…	https://www.indeed.com/rc/clk?jk=45db2aab7138ebb2&fccid=59237124d676ae4d&vjs=3
276	Research Program Assistant	Baltimore, MD 21205 (Orangeville area)	Johns Hopkins University	Will be involved in data collection, entry and management functions in a research program.	https://www.indeed.com/rc/clk?jk=95842fa39435ad95&fccid=f34acbd24dd4fcb0&vjs=3
277	Research Associate (Protein Purification)	Minneapolis, MN 55413 (Southeast Como area)	Bio-Techne	The responsibilities of this position is to purify proteins for restock and modify existing protocols to meet the demand of our customers.	https://www.indeed.com/rc/clk?jk=d0cf95ab847bddfa&fccid=28abee2910df1479&vjs=3
278	Research Assistant I	West Liberty, WV 26074	West Liberty University	This is a grant-funded position (WV IDeA Network of Biomedical Research Excellence).	https://www.indeed.com/rc/clk?jk=6be925e043dc9542&fccid=5f0eed326905140b&vjs=3
279	REMOTE Communications Associate @ Harvard Innovation Lab VIP...	Nashua, NH	Ignite Mental Health	Acting as a spokesperson for projects you are running point on, both internally and externally.	https://www.indeed.com/rc/clk?jk=ac2930d79ccd1cbf&fccid=eb8d1028548845d3&vjs=3
280	Research Technician	Raleigh, NC 27695 (Hillsborough area)	North Carolina State University	Experience with research design such as literature review and problem-solving is encouraged.	https://www.indeed.com/rc/clk?jk=bf0823e4e2b2dd64&fccid=662e23242ca7a7c3&vjs=3
281	Research Technician I	Washington, DC	Children's National Hospital	Attend lab seminars to further research knowledge.	https://www.indeed.com/rc/clk?jk=9fa4015973073cad&fccid=462240b6ade3ccad&vjs=3
282	Contract Clinical Research Associates	Madison, WI 53711	Next Generation Clinical Research	NO current positions but accepting applications: Candidates must possess at least five years current monitoring experience (certification preferred) and may be…	https://www.indeed.com/rc/clk?jk=56ac1639226a4511&fccid=05f7befd811dbd10&vjs=3
283	Intern — Small Island Developing States, Research and Commun...	New York, NY 10017 (Turtle Bay area)	United Nations Development Programme (UNDP)	Demonstrated research and ability to extract and compile information based on research undertaken as part of University coursework or outside work;	https://www.indeed.com/rc/clk?jk=b41cd5b3ddf809d8&fccid=a9a8bf2e786e3726&vjs=3
284	Research Assistant II/III	Auburn, AL 36830	Auburn University	Experience in research practices and protocols; gross anatomy experience.	https://www.indeed.com/rc/clk?jk=ed173e4f51528283&fccid=9a839421eaa36c15&vjs=3
285	Assistant Director for Research Finance	San Diego, CA	UC San Diego	Seven or more years of relevant experience in a university research setting, ideally in health sciences.	https://www.indeed.com/rc/clk?jk=38eb2a80d0ed1209&fccid=10b5a4abcc6bf067&vjs=3
286	Melanoma Research Assistant	Kansas City, KS 66160 (Rosedale area)	University of Kansas Medical Center	He/she will be responsible for obtaining informed consent from patients, research data collection and entry, maintenance of web-based research data base and…	https://www.indeed.com/rc/clk?jk=8e4aacd21fe7763d&fccid=3fc872762daaa4f5&vjs=3
287	Curatorial Research Assistant	Washington, DC 20024 (Southwest Federal Center area)	Museum of the Bible	This project includes cataloging scrolls for the purpose of making scrolls available for research through an online database.	https://www.indeed.com/rc/clk?jk=f3dc4942d4ee92de&fccid=13fe4220da751487&vjs=3
288	Short term temporary Clinical Research Assistant	Weymouth, MA 02190 (South Weymouth area)	South Shore Health	The Clinical Research Assistant (CRA) is responsible supporting ongoing clinical research projects within South Shore Health (SSH).	https://www.indeed.com/rc/clk?jk=8cc74205e1e39c98&fccid=e3c608ee6668e8e3&vjs=3
289	Lab Assistant	San Diego, CA	UC San Diego	Ability to read, comprehend, discuss, and present research materials.	https://www.indeed.com/rc/clk?jk=a1d6bef36d4dfac6&fccid=10b5a4abcc6bf067&vjs=3
290	Research Coordinator I	Houston, TX 77030 (Medical Center Area area)	Baylor College of Medicine	Assist with scheduling research participants for tests or procedures specific to research protocol, including follow up to increase compliance.	https://www.indeed.com/rc/clk?jk=369e216d3e0e8125&fccid=5f589639ccd58869&vjs=3
291	Research Assistant	Edinburg, TX 78539	The University of Texas Rio Grande Valley	Seeking a graduate research assistant to assist with research, outreach, and data entry related to the Community Activism Archive Project for 10 hours/week in…	https://www.indeed.com/rc/clk?jk=920265cd582a1436&fccid=654f5da29df7ad7b&vjs=3
292	Herpetological Research Assistant	Richmond, KY 40475	Eastern Kentucky University	Assist with field data collection, data entry and analyses, and completion of report.	https://www.indeed.com/rc/clk?jk=403bcd8e208e5dfa&fccid=df6db8c311888b97&vjs=3
293	RESEARCH ASSISTANT I / DAY / 20 HOURS / BWH NEUROLOGY	Boston, MA 02115 (Mission Hill area)	Brigham & Women's Hospital(BWH)	Knowledge of clinical research protocols.	https://www.indeed.com/rc/clk?jk=9ef3485defe17216&fccid=053c0caee91baa24&vjs=3
294	Research Assistant - COVID-19 Tech 1 Travel	Oregon	Oregon State University	This recruitment will be used to fill 30 part-time (a maximum of 20 hours per week) Student Technical Assistant positions for the College of Science Admin at…	https://www.indeed.com/rc/clk?jk=91868df26f8276bf&fccid=f08351abc513c21b&vjs=3
295	Research Assistant - Genetics	St. Louis, MO 63130	Washington University in St. Louis	Conducts research experiments and assays.	https://www.indeed.com/rc/clk?jk=4e35d610130a7e0d&fccid=d9d52566d47ab815&vjs=3
296	Soc/Clin Research Assistant	Chapel Hill, NC 27599	University of North Carolina at Chapel Hill	Previous experience working in research.	https://www.indeed.com/rc/clk?jk=420e2dbb0affa4ff&fccid=9a199e21f9f95369&vjs=3
297	Research Assistant	Columbia, SC 29208	University of South Carolina	Research Associate will assist with data organization and research manuscript preparation for the Applied Cognitive-Neuropsychology Lab.	https://www.indeed.com/rc/clk?jk=135a91a56e0ed72c&fccid=81f582fe27653afa&vjs=3
298	Laboratory Assistant II	Seattle, WA 98127	Virginia Mason Medical Center	In this Lab Assistant II position you will perform pre-analytical processing of patient samples based on established laboratory procedures.	https://www.indeed.com/rc/clk?jk=c6edd31713b96b42&fccid=0e13837f27a6a61a&vjs=3
299	Pathology Lab Assistant	Chicago, IL	Swedish Hospital, Part of NorthShore	JOB SUMMARY: Provides technical assistance in the anatomical pathology laboratory.	https://www.indeed.com/rc/clk?jk=8d003238fe8a2b1e&fccid=9e4b5119ee112319&vjs=3
300	Research Coordinator	Indiana	AmeriCorps	Member will develop, document, survey and educate on research regarding resident engagement, grant openings and opportunities for growth.	https://www.indeed.com/rc/clk?jk=219f58a227b0d2f7&fccid=e87c07079f6e369f&vjs=3
301	Research Assistant I	Bar Harbor, ME 04609	The Jackson Laboratory	Our Physiology and Cardiac Phenotyping team focuses on identifying phenotypes in genetic models of human diseases such as cardiovascular disease, vision,…	https://www.indeed.com/rc/clk?jk=425d988492418545&fccid=3be85788e3fd3d2c&vjs=3
302	Research Assistant (COVID-19) - Emerging Infectious Diseases...	Silver Spring, MD	Henry M Jackson Foundation For The Advan	Performs data entry for research projects and data export consistent with database requirements.	https://www.indeed.com/rc/clk?jk=afe7bc9bcbcafca6&fccid=a6eaf84d8368832d&vjs=3
303	Part -Time Research Assistant I (Research-Anesthesiology)	Houston, TX	The University of Texas Health Science Center at H...	Under close supervision, conducts research activities according to research protocol.	https://www.indeed.com/rc/clk?jk=8641ff4a4d831fea&fccid=2259246cd8a35c6c&vjs=3
304	Research Assistant II / 40 hours / Days / BWH Surgery Resear...	Boston, MA 02115 (Mission Hill area)	Brigham & Women's Hospital(BWH)	Participates and assists in training and orienting new research assistants and staff.	https://www.indeed.com/rc/clk?jk=76ec5e620b9b67f3&fccid=053c0caee91baa24&vjs=3
305	Clinical Research Assistant	Grand Rapids, MI 49546	Cancer & Hematology Centers of Western Michigan	Additional demonstration of clinical research knowledge as evidenced by the use of either CCRP or CCRC credentials is highly desirable.	https://www.indeed.com/rc/clk?jk=fcbf8f2490bce2e4&fccid=90471d47e3c277fe&vjs=3
306	Research Associate - Bioanalysis	Seattle, WA 98109 (South Lake Union area)	Novo Nordisk	Internal relationships include working with research employees, project managers at the Seattle research facility, as well relationships with colleagues in…	https://www.indeed.com/rc/clk?jk=d03e2093b2d64493&fccid=0ee07a80a4e05d45&vjs=3
307	Temporary Research Assistant, Day, BWH Cardiovascular	Boston, MA 02115 (Mission Hill area)	Brigham & Women's Hospital(BWH)	A. Performs basic research experiments in the field of cardiac electrophysiology.	https://www.indeed.com/rc/clk?jk=9963d391f1d84f5a&fccid=053c0caee91baa24&vjs=3
308	Research Assistant-Pharmacology	Memphis, TN	University of Tennessee Health Science Center	Good motivation in learning new research knowledge and skills.	https://www.indeed.com/rc/clk?jk=2a6858a0e923d7da&fccid=ac63752c5c8a7e3c&vjs=3
309	Research Assistant	Akron, OH 44308 (Downtown area)	State and Federal Communications	The Research Assistant will report to the Research Manager and provide high level support to the Research Department.	https://www.indeed.com/rc/clk?jk=fcc4e14eb999c448&fccid=0e866b98b00756c3&vjs=3
310	SR. Research Assistant - Pediatrics-Cardiology	Memphis, TN 38116 (White Haven-Coro Lake area)	University of Tennessee	Orders, tracks, and maintains research supplies and inventory.	https://www.indeed.com/rc/clk?jk=2619be3575731f7a&fccid=a2b8a561fdc0c8d9&vjs=3
311	Laboratory Assistant II	San Francisco, CA 94143 (Haight-Ashbury area)	University of California San Francisco	The Laboratory Assistant II position is to assist students, fellows, and Staff Research Associates (SRAs) in lab tasks in a basic science lab.	https://www.indeed.com/rc/clk?jk=fe84f65282350a94&fccid=2a341562d64c7cdb&vjs=3
312	Lab Assistant	South San Francisco, CA	Culture Biosciences	Our software also provides quick and simple data analysis, enabling customers to analyze reams of data quickly.	https://www.indeed.com/rc/clk?jk=cd39b7be0f2b33f8&fccid=f99a8e625c038f04&vjs=3
313	Associate Research/Data Analyst	Jefferson City, MO 65101	State of Missouri	Associate Research/Data Analyst – Department of Revenue.	https://www.indeed.com/rc/clk?jk=ba255ac24e53175b&fccid=cdf50da77e83deaa&vjs=3
314	Research Assistant	Menlo Park, CA 94025	Exponent	Bachelors’ degree (a Master’s degree and/or a degree in a engineering discipline Civil Engineering preferred).	https://www.indeed.com/rc/clk?jk=90eeb42f7d7d3151&fccid=0213df1b2d6a2c22&vjs=3
315	RESEARCH ASSISTANT 2, School of Medicine	Boston, MA 02215 (Kenmore area)	Boston University	This individual will be responsible for working with Dr. Taft and the SAH team to coordinate all aspects of the program.	https://www.indeed.com/rc/clk?jk=4afbfabfc367c1a7&fccid=2e7c6e6217aa02b5&vjs=3
316	Research Assistant (CDET)	Quantico, VA 22134	Davis Defense Group	The candidate shall possess the capacity to provide supplemental research assistant capabilities for specific research, advisory, and integration efforts in…	https://www.indeed.com/rc/clk?jk=4c5735e4d2a62178&fccid=e92e3fa1fe064d5f&vjs=3
317	Research Associate I (Single Cell)	Pleasanton, CA 94588	Bio-Rad Laboratories, Inc.	Perform NGS library preparation and conduct key experiments to optimize formulations and workflow.	https://www.indeed.com/rc/clk?jk=259123cc04700024&fccid=f5d3dc952a96809f&vjs=3
318	RESEARCH ASSISTANT III - Human Genetics - Stottmann Lab	Cincinnati, OH 45229 (North Avondale area)	Cincinnati Children's Hospital	Understand the scientific principles involved in the research.	https://www.indeed.com/rc/clk?jk=597bc8850a65a013&fccid=1cf1d6e36473c700&vjs=3
319	Technical Research Assistant I / 40 Hours / Days / BWH Thora...	Boston, MA 02115 (Mission Hill area)	Brigham & Women's Hospital(BWH)	The laboratory conducts lung cancer research using cancer cell-lines and tissue/s (blood borne pathogens).	https://www.indeed.com/rc/clk?jk=84a1c587f29fc018&fccid=053c0caee91baa24&vjs=3
320	Research Assistant for Rehabiliation Services & Counseling	Rio Grande Valley, TX	The University of Texas Rio Grande Valley	Research Assistant will assist Research Faculty with the research needs of the project.	https://www.indeed.com/rc/clk?jk=a7e65a141e67d42e&fccid=654f5da29df7ad7b&vjs=3
321	Research Assistant	Roanoke, VA 24016 (Gainsboro area)	Virginia Tech	Participating in research team meetings to report on research progress, improve data collection processes, assist with problem solving, and address protocol…	https://www.indeed.com/rc/clk?jk=848dff7c21075810&fccid=838875e9df57e8c2&vjs=3
322	Assistant Research Analyst	San Diego, CA 92101 (Core-Columbia area)	Robbins Arroyo	Familiarity with internet research and internet news websites.	https://www.indeed.com/rc/clk?jk=3daf115632e4a3b2&fccid=1fe74649ef3924c3&vjs=3
323	Research Associate - San Diego Zoo Institute for Conservatio...	Escondido, CA 92027	San Diego Zoo	The position also includes working supporting ongoing research projects in Conservation Genetics.	https://www.indeed.com/rc/clk?jk=8cf0262d8b50b337&fccid=0e9146214bc60876&vjs=3
324	Staff Research Associate	Merced, CA 95343	University of California Merced	The SRA 4 participates in research activities at several levels of difficulty and responsibility and makes significant innovative contributions to research…	https://www.indeed.com/rc/clk?jk=e8393281f2428c94&fccid=0edd87f0624ec288&vjs=3
325	Microbiology Lab Assistant	Elmwood Park, NJ 07407	Bio-Reference Laboratories, Inc.	Laboratory Assistants perform routine and specialized assignments associated with moderate complexity testing and demonstrate proficiency and understanding of…	https://www.indeed.com/rc/clk?jk=56c3a5ca09e03dd2&fccid=f8dfe19910122ff5&vjs=3
326	Research Assistant	Dover, DE 19901	Delaware State University	The Research Assistant will work closely with Neuropsychology faculty to plan, develop, and carry out neuropsychology research projects with human subjects.	https://www.indeed.com/rc/clk?jk=87fcfb24f19305fb&fccid=f346b4c7eb0d9de7&vjs=3
327	Research Associate I, Medicine Services - 71545	Galveston, TX 77550	UTMB	Sets up and conducts standard research experiments following detailed technical instructions.	https://www.indeed.com/rc/clk?jk=58455b9811792074&fccid=a4937c50073cd1dd&vjs=3
328	Laboratory Assistant 2 (9603C) - 8647	Berkeley, CA 94720	University of California Berkeley	The teaching and research activities of the Department of Molecular and Cell Biology (MCB) concern the molecular structures and processes of cellular life and…	https://www.indeed.com/rc/clk?jk=857e01de2c9275ff&fccid=db52f1353185d77b&vjs=3
329	Research Technician	Pittsburgh, PA	The University of Pittsburgh	Med-Drug Discovery Institute - Pennsylvania-Pittsburgh - (20002902).	https://www.indeed.com/rc/clk?jk=aa4cd9439fb40eff&fccid=1f92178814b05d89&vjs=3
330	Research & Development Analytical Laboratory Associate Resea...	Cincinnati, OH 45201	Procter & Gamble	Consider these fields if you love: Biology/Chemistry/Engineering/Similar experience or background - Conducting tests of new technologies or products using state…	https://www.indeed.com/rc/clk?jk=f7bf3c5aaede0749&fccid=2da0dedf6df97194&vjs=3
331	RESEARCH ASSISTANT (DEPARTMENT OF FAMILY MEDICINE)	Los Angeles, CA 90059	Charles R. Drew University	Contacts and screens potential research subjects.	https://www.indeed.com/rc/clk?jk=ccb4485fe4bad20e&fccid=edd38596181d739b&vjs=3
332	Research Assistant - Analytical Chemistry	Palo Alto, CA	Centrillion	Conduct supervised chemistry & materials research experiments for manufacturing process development.	https://www.indeed.com/rc/clk?jk=160a78aa90867a09&fccid=2aa42c06718c85f9&vjs=3
333	Research Assistant II / 20 Hours / Day / BWH Newborn Medicin...	Boston, MA 02115 (Mission Hill area)	Brigham & Women's Hospital(BWH)	Sound independent judgment and competence in research methodologies.	https://www.indeed.com/rc/clk?jk=24ee208b03b672eb&fccid=053c0caee91baa24&vjs=3
334	Research Technician	Boston, MA 02114 (West End area)	Massachusetts General Hospital(MGH)	Must be willing to work flexible hours as necessary.	https://www.indeed.com/rc/clk?jk=4333504fc75c7e94&fccid=3aaabf5c54e51db9&vjs=3
335	Clinical Research Assistant	Seattle, WA 98164 (Downtown area)	Seattle Children's Hospital	Assist and provide administrative support for assigned Division research team with specific aspects of the organization, implementation, and completion of…	https://www.indeed.com/rc/clk?jk=fe3a26af15fbbac1&fccid=bf9ae2bbdcda14f4&vjs=3
336	Research Associate (MSP)	Minneapolis, MN	Murphy Research	With strong support from senior leadership, you’ll receive on-the-job training in project management, data processing, questionnaire design, report writing, and…	https://www.indeed.com/rc/clk?jk=1a6baa713cb20b49&fccid=26804106c6f321cc&vjs=3
337	Research Assistant C - Department of Rehab Sciences	Philadelphia, PA 19107 (City Center East area)	Jefferson - Center City, Philadelphia, PA	The research assistant assists with tasks defined within a research protocol.	https://www.indeed.com/rc/clk?jk=ddab95b398c86937&fccid=cce48ad42816872f&vjs=3
338	Clinical Research Assistant II, Pediatrics	New York, NY	Mount Sinai	Experience:2 years in research environment preferred.	https://www.indeed.com/rc/clk?jk=331382c3bbb0e500&fccid=c007936ceb766fe5&vjs=3
339	Research Associate	Cambridge, MA 02142 (East Cambridge area)	Bristol-Myers Squibb	Experience in immuno-oncology research is a plus.	https://www.indeed.com/rc/clk?jk=d37afec0ddf82748&fccid=45f7e11d0973ee3a&vjs=3
340	Research Assistant- Archibong Lancet epidemics grant	New York, NY 10027 (Morningside Heights area)	Barnard College	Department Economics Reports to Title Assistant Professor/PI Full or Part Time Part Time Number Of Months 4 Work Schedule.	https://www.indeed.com/rc/clk?jk=51c51516260741e6&fccid=efa377be21c099f6&vjs=3
341	Research Assistant for Communication Sciences & Disorders	Rio Grande Valley, TX	The University of Texas Rio Grande Valley	Research Assistant will assist Research Faculty with the research needs of the project.	https://www.indeed.com/rc/clk?jk=63af6e8914368a60&fccid=654f5da29df7ad7b&vjs=3
342	Undergraduate Research Assistant	Altoona, PA 16601 (Penn State Altoona area)	Penn State University	Previous research experience in a chemistry lab is a plus.	https://www.indeed.com/rc/clk?jk=7c25e19d9c663428&fccid=ee32437d8dec00bd&vjs=3
