index	city	company_name	duration	frequency	job	job_link	salary
319	上海	猎聘网	6个月	3天/周	党办实习生	https://www.shixiseng.com/intern/inn_siirb6w0wccb?pcm=pc_SearchList	100-100/天
320	上海	链家	5天/周	7天/周	置业顾问	https://www.shixiseng.com/intern/inn_jz2dgcpgrblo?pcm=pc_SearchList	300-300/天
321	北京	App Annie	5天/周	3个月	游戏测评实习生-韩语	https://www.shixiseng.com/intern/inn_skymjmweulrh?pcm=pc_SearchList	200-250/天
322	北京	龙图游戏	6天/周	6个月	2021届-UI/UE策划实习生	https://www.shixiseng.com/intern/inn_0crsjj5tigpt?pcm=pc_SearchList	150-250/天
323	广州	穗纶服装	5天/周	6个月	市场运营实习生	https://www.shixiseng.com/intern/inn_z2caedj73kln?pcm=pc_SearchList	80-150/天
324	湖州	我武生物	5天/周	3个月	药品生产管培生（浙江）	https://www.shixiseng.com/intern/inn_qc7qoy89s6dd?pcm=pc_SearchList	100-200/天
325	上海	又为智能	5天/周	3个月	医疗器械注册实习生	https://www.shixiseng.com/intern/inn_y17v2hlcohie?pcm=pc_SearchList	120-180/天
326	北京	 职源者	5天/周	2个月	北京客服实习	https://www.shixiseng.com/intern/inn_c7a9w3hgsio3?pcm=pc_SearchList	150-180/天
327	三亚	我武生物	3天/周	12个月	医药销售代表\医学信息沟通专员（海南--三亚）	https://www.shixiseng.com/intern/inn_jzx3khujnusd?pcm=pc_SearchList	120-200/天
328	全国	圣才电子书	5天/周	3个月	医学影像学编辑实习生	https://www.shixiseng.com/intern/inn_2u4a85x6ex7n?pcm=pc_SearchList	150-200/天
329	北京	伟达公关	6天/周	3个月	人事行政助理	https://www.shixiseng.com/intern/inn_kxgc7re90ndi?pcm=pc_SearchList	80-80/天
330	北京	自如网	5天/周	9个月	自如管家实习生	https://www.shixiseng.com/intern/inn_aj2bvx624tbk?pcm=pc_SearchList	200-250/天
331	荆门	我武生物	5天/周	12个月	医药销售代表\医学信息沟通专员（湖北—京山）	https://www.shixiseng.com/intern/inn_oaeo7v7gwrsf?pcm=pc_SearchList	120-200/天
332	广州	时趣互动	4天/周	3个月	项目助理实习生	https://www.shixiseng.com/intern/inn_um6orpdt4ylt?pcm=pc_SearchList	100-120/天
333	南京	安百拓	4天/周	5个月	市场部实习生	https://www.shixiseng.com/intern/inn_7glmyc4lqwaz?pcm=pc_SearchList	100-120/天
334	上海	携程旅行网	5天/周	3个月	公关实习生	https://www.shixiseng.com/intern/inn_kprbms7vdj2r?pcm=pc_SearchList	150-200/天
335	北京	网易	5天/周	3个月	Android开发实习生	https://www.shixiseng.com/intern/inn_v3nixoneehus?pcm=pc_SearchList	100-120/天
336	天津	中企动力	5天/周	4个月	储备干部（市场方向）	https://www.shixiseng.com/intern/inn_ahbirfs9af2q?pcm=pc_SearchList	150-250/天
337	广州	savills	5天/周	9个月	市场助理	https://www.shixiseng.com/intern/inn_wrzbsktqpivi?pcm=pc_SearchList	100-100/天
